group,replicate,fastq_1,fastq_2,antibody,control
Reb1,1,data/SRR6453183^SLIM-ChIP^Reb1^rep1^r1.fastq.gz,data/SRR6453183^SLIM-ChIP^Reb1^rep1^r2.fastq.gz,Reb1,control_ChIP-Exo
Abf1,1,data/SRR6453184^SLIM-ChIP^Abf1^rep1^r1.fastq.gz,data/SRR6453184^SLIM-ChIP^Abf1^rep1^r2.fastq.gz,Abf1,control_ChIP-Exo
Rap1,1,data/SRR6453185^SLIM-ChIP^Rap1^rep1^r1.fastq.gz,data/SRR6453185^SLIM-ChIP^Rap1^rep1^r2.fastq.gz,Rap1,control_ChIP-Exo
Spt3-TAP,1,data/SRR5511881^ChIP-Exo^Spt3-TAP^rep1^r1.fastq.gz,data/SRR5511881^ChIP-Exo^Spt3-TAP^rep1^r2.fastq.gz,Spt3-TAP,control_ChIP-Exo
Spt16-TAP,1,data/SRR5511951^ChIP-Exo^Spt16-TAP^rep1^r1.fastq.gz,data/SRR5511951^ChIP-Exo^Spt16-TAP^rep1^r2.fastq.gz,Spt16-TAP,control_ChIP-Exo
Hsf1-TAP,1,data/SRR5511958^ChIP-Exo^Hsf1-TAP^rep1^r1.fastq.gz,data/SRR5511958^ChIP-Exo^Hsf1-TAP^rep1^r2.fastq.gz,Hsf1-TAP,control_ChIP-Exo
Hsf1-TAP,2,data/SRR5511959^ChIP-Exo^Hsf1-TAP^rep2^r1.fastq.gz,data/SRR5511959^ChIP-Exo^Hsf1-TAP^rep2^r2.fastq.gz,Hsf1-TAP,control_ChIP-Exo
Rsc9-TAP,1,data/SRR5511984^ChIP-Exo^Rsc9-TAP^rep1^r1.fastq.gz,data/SRR5511984^ChIP-Exo^Rsc9-TAP^rep1^r2.fastq.gz,Rsc9-TAP,control_ChIP-Exo
control_ChIP-Exo,1,data/SRR5512036^ChIP-Exo^Neg^rep1^r1.fastq.gz,data/SRR5512036^ChIP-Exo^Neg^rep1^r2.fastq.gz,,
control_ChIP-Exo,2,data/SRR5512037^ChIP-Exo^Neg^rep2^r1.fastq.gz,data/SRR5512037^ChIP-Exo^Neg^rep2^r2.fastq.gz,,
Cse4,1,data/SRR5071542^CUTnRUN^Cse4^rep1^r1.fastq.gz,data/SRR5071542^CUTnRUN^Cse4^rep1^r2.fastq.gz,Cse4,control_CUTnRUN
H2A,1,data/SRR5071555^CUTnRUN^H2A^rep1^r1.fastq.gz,data/SRR5071555^CUTnRUN^H2A^rep1^r2.fastq.gz,H2A,control_CUTnRUN
Mot1,1,data/SRR5071567^CUTnRUN^Mot1^rep1^r1.fastq.gz,data/SRR5071567^CUTnRUN^Mot1^rep1^r2.fastq.gz,Mot1,control_CUTnRUN
Sth1,1,data/SRR5071576^CUTnRUN^Sth1^rep1^r1.fastq.gz,data/SRR5071576^CUTnRUN^Sth1^rep1^r2.fastq.gz,Sth1,control_CUTnRUN
Sth1,2,data/SRR5071577^CUTnRUN^Sth1^rep2^r1.fastq.gz,data/SRR5071577^CUTnRUN^Sth1^rep2^r2.fastq.gz,Sth1,control_CUTnRUN
control_CUTnRUN,1,data/SRR5071586^CUTnRUN^Neg^rep1^r1.fastq.gz,data/SRR5071586^CUTnRUN^Neg^rep1^r2.fastq.gz,,
control_CUTnRUN,2,data/SRR5071587^CUTnRUN^Neg^rep2^r1.fastq.gz,data/SRR5071587^CUTnRUN^Neg^rep2^r2.fastq.gz,,
Sua7,1,data/SRR1951347^ChIP-Exo^Sua7^rep1^r1.fastq.gz,data/SRR1951347^ChIP-Exo^Sua7^rep1^r2.fastq.gz,Sua7,control_ChIP-Exo
Sua7,2,data/SRR1951348^ChIP-Exo^Sua7^rep2^r1.fastq.gz,data/SRR1951348^ChIP-Exo^Sua7^rep2^r2.fastq.gz,Sua7,control_ChIP-Exo
Rpb3,1,data/SRR1951349^ChIP-Exo^Rpb3^rep1^r1.fastq.gz,data/SRR1951349^ChIP-Exo^Rpb3^rep1^r2.fastq.gz,Rpb3,control_ChIP-Exo
Rpb3,2,data/SRR1951350^ChIP-Exo^Rpb3^rep2^r1.fastq.gz,data/SRR1951350^ChIP-Exo^Rpb3^rep2^r2.fastq.gz,Rpb3,control_ChIP-Exo
Fhl1,1,data/SRR1951353^ChIP-Exo^Fhl1^rep1^r1.fastq.gz,data/SRR1951353^ChIP-Exo^Fhl1^rep1^r2.fastq.gz,Fhl1,control_ChIP-Exo
Fhl1,2,data/SRR1951354^ChIP-Exo^Fhl1^rep2^r1.fastq.gz,data/SRR1951354^ChIP-Exo^Fhl1^rep2^r2.fastq.gz,Fhl1,control_ChIP-Exo
Ifh1,1,data/SRR1951359^ChIP-Exo^Ifh1^rep1^r1.fastq.gz,data/SRR1951359^ChIP-Exo^Ifh1^rep1^r2.fastq.gz,Ifh1,control_ChIP-Exo
Ifh1,2,data/SRR1951360^ChIP-Exo^Ifh1^rep2^r1.fastq.gz,data/SRR1951360^ChIP-Exo^Ifh1^rep2^r2.fastq.gz,Ifh1,control_ChIP-Exo
