Run	BioProject	Transcription_factor	Replicate	Assay	Study	reads_1	reads_2	ctl
SRR6453183	PRJNA429230	Reb1	1	SLIM-ChIP	Gutin2018	data/SRR6453183^SLIM-ChIP^Reb1^rep1.fastq.gz	data/SRR6453183^SLIM-ChIP^Reb1^rep2.fastq.gz	
SRR6453184	PRJNA429230	Abf1	1	SLIM-ChIP	Gutin2018	data/SRR6453184^SLIM-ChIP^Abf1^rep1.fastq.gz	data/SRR6453184^SLIM-ChIP^Abf1^rep2.fastq.gz	
SRR6453185	PRJNA429230	Rap1	1	SLIM-ChIP	Gutin2018	data/SRR6453185^SLIM-ChIP^Rap1^rep1.fastq.gz	data/SRR6453185^SLIM-ChIP^Rap1^rep2.fastq.gz	
SRR5511881	PRJNA385531	Spt3-TAP	1	ChIP-Exo	Vinayachandran2018	data/SRR5511881^ChIP-Exo^Spt3-TAP^rep1.fastq.gz	data/SRR5511881^ChIP-Exo^Spt3-TAP^rep2.fastq.gz	SRR5512036
SRR5511951	PRJNA385531	Spt16-TAP	1	ChIP-Exo	Vinayachandran2018	data/SRR5511951^ChIP-Exo^Spt16-TAP^rep1.fastq.gz	data/SRR5511951^ChIP-Exo^Spt16-TAP^rep2.fastq.gz	SRR5512036
SRR5511958	PRJNA385531	Hsf1-TAP	1	ChIP-Exo	Vinayachandran2018	data/SRR5511958^ChIP-Exo^Hsf1-TAP^rep1.fastq.gz	data/SRR5511958^ChIP-Exo^Hsf1-TAP^rep2.fastq.gz	SRR5512036
SRR5511959	PRJNA385531	Hsf1-TAP	2	ChIP-Exo	Vinayachandran2018	data/SRR5511959^ChIP-Exo^Hsf1-TAP^rep1.fastq.gz	data/SRR5511959^ChIP-Exo^Hsf1-TAP^rep2.fastq.gz	SRR5512037
SRR5511984	PRJNA385531	Rsc9-TAP	1	ChIP-Exo	Vinayachandran2018	data/SRR5511984^ChIP-Exo^Rsc9-TAP^rep1.fastq.gz	data/SRR5511984^ChIP-Exo^Rsc9-TAP^rep2.fastq.gz	SRR5512036
SRR5512036	PRJNA385531	Neg	1	ChIP-Exo	Vinayachandran2018	data/SRR5512036^ChIP-Exo^Neg^rep1.fastq.gz	data/SRR5512036^ChIP-Exo^Neg^rep2.fastq.gz	SRR5512036
SRR5512037	PRJNA385531	Neg	2	ChIP-Exo	Vinayachandran2018	data/SRR5512037^ChIP-Exo^Neg^rep1.fastq.gz	data/SRR5512037^ChIP-Exo^Neg^rep2.fastq.gz	SRR5512037
