	WT-t00	WT-t05	WT-t10	WT-t15	WT-t20	WT-t30	WT-t45	WT-t60
YAL069W	0	0	2.445	0	0	0	0	0
YAL068W-A	0	0	2.445	0	0	0	0	0
TEL01L-XC	0	0	0	0	0	0	0	0
YAL068C	4.8945	6.779	0	0	4.454	2.8829	4.0907	3.8144
YAL067W-A	0	0	0	0	0	0	0	0
YAL067C	2.4472	0	0	0	2.227	2.8829	4.0907	0
YAL066W	0	0	0	0	0	0	0	0
YAL065C	0	0	0	0	0	0	0	0
YAL064W-B	0	0	0	2.8035	0	0	0	0
YAL064C-A	0	0	0	0	0	0	0	3.8144
YAL064W	0	0	0	0	2.227	0	2.0453	3.8144
YAL063C-A	0	4.5193	0	0	4.454	5.7659	0	0
YAL063C	4.8945	9.0386	14.6698	5.6071	6.681	11.5318	14.3174	7.6288
YAL062W	0	0	7.3349	2.8035	4.454	2.8829	12.272	3.8144
YAL061W	53.8391	88.1264	330.0709	723.3151	783.8998	576.5882	247.4858	148.7613
YAL060W	80.7586	67.7896	129.5834	137.3738	149.2082	245.05	355.8886	198.3484
YAL059W	110.1254	76.8282	41.5645	19.6248	2.227	2.8829	14.3174	22.8864
YAL059C-A	2.4472	4.5193	4.8899	2.8035	6.681	8.6488	22.4987	11.4432
YAL058W	41.6029	36.1544	26.8947	47.6603	24.4969	46.1271	38.8614	26.7007
YAL056C-A	0	0	0	2.8035	2.227	0	0	0
YAL056W	61.1808	31.6351	41.5645	50.4638	60.1287	86.4882	65.4508	68.6591
YAL055W	26.9195	22.5965	26.8947	33.6426	35.6318	57.6588	40.9067	19.072
YAL054C	17.1306	20.3369	14.6698	5.6071	6.681	8.6488	24.544	3.8144
YAL053W	110.1254	85.8668	78.239	70.0887	66.8096	98.02	116.5842	106.803
YAL051W	26.9195	27.1158	22.0047	61.678	28.9508	54.7759	49.0881	64.8447
YAL049C	117.4671	67.7896	73.3491	100.9277	115.8034	164.3276	128.8562	152.5757
YAL047W-A	2.4472	2.2597	2.445	0	0	5.7659	0	0
YAL048C	0	0	2.445	2.8035	2.227	2.8829	0	0
YAL047C	19.5779	20.3369	17.1148	5.6071	17.8159	14.4147	22.4987	11.4432
YAL046C	100.3365	65.5299	66.0142	56.0709	55.6747	43.2441	79.7681	99.1742
YAL044W-A	134.5977	137.8388	107.5787	145.7844	73.4906	121.0835	108.4029	156.3901
YAL045C	14.6834	13.5579	12.2248	14.0177	6.681	14.4147	12.272	19.072
YAL044C	440.5017	368.3233	359.4106	375.6753	347.4101	331.5382	499.0622	591.2307
YAL043C	48.9446	31.6351	66.0142	75.6958	64.5827	92.2541	89.9948	76.2878
YAL042W	217.8036	286.9758	325.181	263.5334	249.4227	270.9965	298.6192	297.5226
YAL042C-A	0	0	0	0	0	0	2.0453	0
YAL041W	36.7085	45.193	48.8994	50.4638	51.2207	63.4247	53.1788	41.9583
YAL040C	34.2612	45.193	100.2438	53.2674	66.8096	77.8394	71.5868	91.5454
YAL039C	36.7085	33.8948	36.6745	22.4284	62.3557	66.3076	69.5415	61.0303
YAL038W	3661.0584	4528.3428	4694.3421	4681.9236	4730.1225	4696.311	4947.6701	4539.1261
YAL037C-B	7.3417	9.0386	7.3349	14.0177	8.908	5.7659	6.136	11.4432
YAL037C-A	110.1254	212.4073	207.8224	227.0873	211.5639	256.5818	214.7604	259.3786
YAL037W	29.3668	20.3369	7.3349	11.2142	15.5889	11.5318	8.1813	7.6288
YAL036C	163.9645	210.1476	119.8035	84.1064	53.4477	46.1271	57.2694	76.2878
YAL035W	330.3763	370.5829	342.2958	257.9263	198.2019	201.8059	198.3977	205.9772
YAL034W-A	26.9195	6.779	24.4497	22.4284	17.8159	17.2976	24.544	15.2576
YAL034C-B	14.6834	11.2983	17.1148	0	11.1349	5.7659	16.3627	11.4432
YAL034C	17.1306	31.6351	117.3586	117.749	129.1653	155.6788	87.9495	61.0303
YAL033W	48.9446	33.8948	39.1195	28.0355	28.9508	23.0635	30.6801	53.4015
YAL032C	31.814	9.0386	46.4544	56.0709	42.3128	34.5953	28.6347	34.3295
YAL031W-A	0	0	0	0	0	0	0	3.8144
YAL031C	17.1306	13.5579	17.1148	19.6248	33.4048	69.1906	28.6347	15.2576
YAL030W	129.7033	142.3581	132.0284	156.9986	204.8829	265.2306	294.5285	221.2347
YAL029C	132.1505	126.5405	105.1337	140.1774	126.9383	132.6153	104.3122	102.9886
YAL028W	9.7889	4.5193	17.1148	25.2319	15.5889	40.3612	28.6347	45.7727
YAL027W	19.5779	15.8176	22.0047	28.0355	37.8588	57.6588	42.9521	34.3295
YAL026C-A	44.0502	42.9334	14.6698	19.6248	15.5889	20.1806	47.0427	49.5871
YAL026C	88.1003	99.4247	51.3444	47.6603	60.1287	51.8929	79.7681	91.5454
YAL025C	137.045	149.137	41.5645	19.6248	13.3619	11.5318	16.3627	53.4015
YAL024C	31.814	11.2983	14.6698	25.2319	15.5889	20.1806	28.6347	34.3295
YAL023C	237.3815	244.0424	232.2721	199.0518	153.6622	190.2741	157.4909	183.0908
YAL022C	92.9948	63.2703	80.684	39.2497	48.9937	66.3076	77.7228	87.731
YAL021C	63.628	36.1544	39.1195	16.8213	71.2636	60.5418	57.2694	68.6591
YAL019W-A	2.4472	0	0	0	0	0	0	0
YAL020C	56.2863	42.9334	34.2296	47.6603	57.9017	54.7759	65.4508	45.7727
YAL019W	68.5225	40.6737	44.0095	25.2319	26.7239	8.6488	26.5894	41.9583
YAL018C	4.8945	0	0	0	0	0	0	0
YAL017W	31.814	22.5965	48.8994	100.9277	155.8892	170.0935	165.6723	91.5454
YAL016C-B	0	4.5193	0	5.6071	2.227	5.7659	0	3.8144
YAL016W	137.045	153.6563	141.8083	179.427	180.386	201.8059	157.4909	194.534
YAL016C-A	2.4472	0	0	0	0	0	0	3.8144
YAL015C	36.7085	9.0386	34.2296	28.0355	44.5398	31.7124	61.3601	38.1439
YAL014C	24.4723	15.8176	31.7846	47.6603	26.7239	34.5953	34.7707	26.7007
YAL013W	17.1306	40.6737	24.4497	36.4461	28.9508	46.1271	42.9521	30.5151
YAL012W	166.4117	158.1756	220.0473	238.3015	222.6988	210.4547	155.4456	144.9469
YAL011W	4.8945	6.779	7.3349	14.0177	6.681	23.0635	16.3627	7.6288
YAL010C	26.9195	2.2597	4.8899	16.8213	22.2699	31.7124	16.3627	7.6288
YAL009W	12.2362	47.4527	14.6698	30.839	35.6318	34.5953	47.0427	57.2159
YAL008W	61.1808	45.193	46.4544	61.678	73.4906	118.2006	132.9469	141.1325
YAL007C	166.4117	142.3581	195.5976	151.3915	140.3002	158.5618	188.171	160.2045
YAL004W	2.4472	2.2597	0	0	0	2.8829	8.1813	7.6288
YAL005C	354.8486	501.6428	887.5241	1471.8622	1926.3446	2828.1652	4524.2853	4676.4442
YAL003W	1671.4592	1572.7179	1479.2068	1275.6139	1084.5431	815.8723	754.7293	938.3404
YAL002W	29.3668	18.0772	22.0047	39.2497	26.7239	37.4782	38.8614	34.3295
YAL001C	24.4723	33.8948	22.0047	44.8568	42.3128	57.6588	65.4508	72.4734
YAR002W	78.3114	70.0492	51.3444	75.6958	89.0795	89.3712	75.6775	99.1742
YAR002C-A	171.3062	158.1756	144.2532	190.6412	118.0304	106.6688	116.5842	87.731
YAR003W	34.2612	29.3755	41.5645	42.0532	31.1778	40.3612	38.8614	30.5151
YAR007C	75.8642	76.8282	90.4639	58.8745	77.9446	118.2006	87.9495	91.5454
YAR008W	24.4723	20.3369	17.1148	11.2142	13.3619	11.5318	10.2267	3.8144
YAR014C	66.0753	54.2317	44.0095	39.2497	60.1287	86.4882	51.1334	38.1439
YAR015W	227.5925	257.6003	212.7124	204.6589	149.2082	170.0935	169.763	122.0605
YAR018C	53.8391	33.8948	19.5598	28.0355	31.1778	28.8294	30.6801	30.5151
YAR019W-A	0	0	2.445	0	2.227	2.8829	0	0
YAR019C	14.6834	15.8176	31.7846	28.0355	28.9508	31.7124	42.9521	7.6288
YAR020C	7.3417	2.2597	9.7799	14.0177	15.5889	25.9465	8.1813	22.8864
YAR023C	9.7889	0	4.8899	5.6071	2.227	2.8829	6.136	3.8144
YAR027W	68.5225	85.8668	83.129	131.7667	97.9875	193.1571	182.035	144.9469
YAR028W	34.2612	36.1544	39.1195	25.2319	15.5889	23.0635	26.5894	22.8864
YAR029W	7.3417	11.2983	7.3349	8.4106	15.5889	8.6488	20.4534	26.7007
YAR031W	26.9195	22.5965	34.2296	58.8745	46.7667	51.8929	38.8614	61.0303
YAR030C	2.4472	2.2597	0	0	4.454	8.6488	14.3174	0
YAR033W	14.6834	22.5965	14.6698	19.6248	24.4969	28.8294	32.7254	38.1439
YAR035W	2.4472	6.779	4.8899	2.8035	2.227	5.7659	4.0907	3.8144
YAR035C-A	0	0	2.445	0	0	0	2.0453	0
YAR042W	26.9195	40.6737	29.3396	36.4461	46.7667	54.7759	59.3148	41.9583
YAR047C	0	0	0	0	0	0	0	0
YAR050W	7.3417	9.0386	9.7799	0	4.454	0	16.3627	7.6288
YAR053W	2.4472	0	0	0	0	0	0	0
YAR060C	0	2.2597	0	0	0	0	2.0453	0
YAR064W	0	0	0	0	0	0	0	0
YAR066W	0	0	0	0	0	0	0	0
YAR068W	2.4472	13.5579	12.2248	11.2142	31.1778	31.7124	26.5894	19.072
YAR069C	2.4472	0	0	0	0	0	0	0
YAR070C	0	0	0	0	0	0	0	0
YAR071W	4.8945	4.5193	2.445	0	11.1349	11.5318	8.1813	22.8864
YAR073W	4.8945	4.5193	0	11.2142	6.681	0	0	0
YAR075W	4.8945	4.5193	0	11.2142	6.681	0	0	0
YBL113W-A	0	0	0	0	0	0	0	0
YBL113C	48.9446	54.2317	41.5645	56.0709	62.3557	49.01	57.2694	91.5454
